,FB1_na,FB1_pv,FB1_lo,FB2_na,FB2_pv,FB2_lo,FB3_na,FB3_pv,FB3_lo,FB4_na,FB4_pv,FB4_lo,FB5_na,FB5_pv,FB5_lo,FB6_na,FB6_pv,FB6_lo,FB7_na,FB7_pv,FB7_lo
0,SCN7A,0.0,1.6359836,CFH,0.0,2.268201,JUNB,0.0,2.5579941,FN1,0.0,3.3781505,PCOLCE2,0.0,3.0095527,CD36,3.569260221497406e-240,3.6541278,RYR2,0.0,5.1401935
1,ABCA8,0.0,1.0202999,NPPA,0.0,3.1692433,NAMPT,0.0,3.2135034,PLXDC2,0.0,1.8132102,MFAP5,3.3443506080708475e-286,2.8606427,FRMD3,1.2682115853235685e-154,2.6606765,TTN,0.0,4.8185077
2,APOD,0.0,1.7079083,KCNT2,0.0,1.8482407,MT2A,0.0,2.9653773,COL8A1,0.0,1.7556337,FBN1,1.8256923571259788e-229,1.6747328,MEF2C,3.677306993231786e-151,2.903312,MYBPC3,0.0,4.6727085
3,ABCA6,0.0,0.90262437,NAV3,0.0,1.592819,ZFP36,0.0,2.521251,CTGF,0.0,2.4538047,CFD,3.315818590141636e-228,1.781228,ADAMTS9,2.004052130230288e-132,4.1074257,FHL2,0.0,4.3701653
4,ACSM3,0.0,1.4760224,PLA2G2A,0.0,1.6202604,NR4A1,0.0,2.8323855,TNC,0.0,4.975998,DCN,9.59777729956908e-213,1.3032892,PDZD2,3.144847605089614e-122,1.9850339,SORBS2,0.0,4.821043
5,MALAT1,0.0,0.330434,DAAM1,0.0,1.5167223,GADD45B,0.0,2.2895935,CCDC80,1.1712255150864093e-296,1.7276092,IGFBP6,1.8393425309544096e-198,2.801709,RASAL2,2.0660956049983055e-117,1.8970274,FGF12,0.0,4.556872
6,SPARCL1,0.0,0.9444547,KAZN,0.0,1.2568123,FOS,0.0,3.127235,SERPINE2,3.874904327415197e-294,2.257343,S100A6,5.0238427937262436e-163,1.8864461,TMTC1,4.313179508531232e-116,2.0108774,TNNT2,0.0,3.8800573
7,ABCA9,0.0,0.85868144,FBLN1,0.0,1.2278403,EGR1,0.0,2.7131748,NOX4,2.254485941785681e-272,1.9357285,UAP1,6.621461513411504e-151,2.2612445,UTRN,8.155179554140326e-115,1.7053766,SLC8A1,0.0,3.7533507
8,ABCA10,0.0,0.92067367,TIMP3,0.0,1.0559225,THBS1,0.0,2.9947858,COL1A2,1.7031359930561166e-231,1.2176204,GSN,6.765905894089047e-146,1.1649345,KALRN,1.7399897773417863e-111,2.6489983,LDB3,5.8014944466392605e-304,4.8050838
9,DCN,0.0,0.66002434,TBX20,1.1454688985652751e-261,1.0554998,SAT1,0.0,1.74865,MIR4435-2HG,4.67595015109213e-226,2.2213602,GFPT2,9.045868381349792e-145,1.9955378,CARMN,1.863442111132192e-110,3.4399393,CTNNA3,1.2580830337526994e-291,4.589218
10,LAMA2,1.4145606099243737e-282,0.53156585,ENG,4.866086945802701e-233,1.0715188,ATP1B3,0.0,2.3459563,COL1A1,6.285071582976521e-217,1.7808442,TIMP1,2.55952794993082e-137,1.8120754,DLC1,1.863442111132192e-110,1.4646765,MYOM1,8.454264119817399e-265,4.4432344
11,NEGR1,1.007185609256871e-278,0.6115347,ZFPM2,6.78110480505955e-228,0.79551667,ELL2,0.0,2.3272052,PALLD,2.179801525774294e-216,1.5218961,CREB5,4.2692261056062675e-132,1.854024,HIPK2,2.2286628202035334e-105,2.212632,CACNA1C,4.329247306905751e-248,3.5602252
12,RORA,1.8086194188726543e-261,0.5457774,FGF14,1.4137436373184182e-211,1.3629265,ADAMTS4,1.5336698510214338e-297,3.5810452,TIMP1,8.523999078330856e-197,1.4529525,ABI3BP,6.905464021346467e-125,1.5215982,FLT1,8.42301090078008e-103,4.4908447,MLIP,6.387379950340421e-244,4.5429
13,LAMC1,1.1774130973872581e-254,0.68529385,ELN,2.6279857960226224e-208,1.0498028,GFPT2,1.790166772398566e-297,2.02487,BGN,6.110272385466237e-190,2.1596522,SCARA5,2.892058753629596e-102,1.7376937,NR2F2-AS1,1.6729903724147814e-101,2.1711123,RBM20,2.0103025808546352e-243,5.0037885
14,MYL2,1.0100315340372343e-242,1.3914592,PXDNL,2.6139989979192804e-206,1.0971603,SOCS3,1.4866836480819069e-294,2.6567714,PRICKLE1,2.8117500786628017e-173,1.5589509,TNXB,3.392789167367746e-101,1.269951,APBB2,7.837178516370655e-101,1.6196839,CACNB2,1.2466837702594248e-217,3.7792537
15,ADGRB3,2.964486394098463e-237,0.8125912,MYL7,4.4593940113428216e-206,1.9527897,MARCH3,2.2543060469955127e-292,1.7034591,SGCD,1.817937444394933e-168,1.5328361,FSTL1,5.463153204214744e-100,1.5193548,PLCB4,1.3526567617785574e-100,2.1835577,PDLIM5,3.4333073715747e-213,3.119095
16,ABCA9-AS1,7.698449503456856e-225,0.90754604,ID3,1.2952085183955126e-190,1.4661644,VMP1,5.137107286692651e-280,1.5134158,PKNOX2,5.066241587260071e-168,2.0277267,CCDC80,7.971969284536548e-93,1.4990828,TACC1,8.780751620342852e-96,1.4779841,SORBS1,5.774711744405896e-210,3.3962781
17,RBFOX1,7.118785057595487e-169,1.1983229,PTPRS,2.3517766746666586e-183,0.9394048,STAT3,8.838221907941089e-261,1.3199264,DPT,6.034068546848681e-168,1.5176699,HTRA3,4.425449430349034e-88,1.7913704,EGFLAM,2.1349124272795e-93,4.776595,SGCD,7.018221612639261e-205,3.196518
18,NID1,1.6276721599413933e-162,0.8114376,PARD3B,1.7922765225732719e-181,0.9567931,MT1M,3.4461896773230666e-257,2.857516,MRC2,8.822780609592272e-161,1.2707117,ITM2B,1.414111399937654e-87,1.2104098,SYNE2,4.016429969324748e-92,2.932831,DMD,2.8741965054164965e-201,2.7914045
19,EGFR,1.0451118706543167e-156,0.7502922,LINGO1,5.609710278723811e-178,0.854759,CCNL1,2.0481227096729898e-255,1.7273105,COL3A1,9.233551915596239e-154,1.2529769,S100A4,3.3769335960564614e-84,1.7777631,GUCY1A2,1.7157282671077143e-89,3.7963097,CMYA5,1.5793102343721055e-198,3.8671536
20,RIPOR3,8.205106424155432e-156,1.5287548,COL24A1,1.4122174486887743e-171,1.4634883,C11orf96,1.0732353052145095e-254,2.3072586,CYTOR,3.846217650883741e-152,2.3771877,CST3,5.179392585508069e-84,1.3434327,ASAP1,4.20534011709922e-86,1.5430031,MYH7,4.066437807622299e-198,3.7025495
21,COL15A1,1.0567501711124992e-154,0.6746943,GPC6,1.267329709061335e-167,1.3185132,CYR61,6.656280845437616e-252,2.0856938,LTBP2,1.0811944033651754e-138,2.0759542,ACKR3,2.6048683838996785e-83,2.5115385,AC012409.2,7.026599808901704e-86,2.7772133,NEBL,1.050948327098429e-197,4.153691
22,LAMB1,6.64137297417585e-154,0.7168489,SAMHD1,1.400304585511841e-167,1.4229885,MT1X,1.1249763985347545e-239,2.219061,CCL2,7.163998541715282e-136,1.3829589,B2M,7.504794453001529e-78,1.33563,NRP1,1.2862571859662607e-84,1.608516,NEXN,7.035851179667596e-194,3.2625957
23,FMO2,3.016242836573224e-128,0.8398272,VCAN,7.642783997702888e-164,0.86782324,CCL2,1.7756907140150516e-228,1.572845,RUNX1,2.0860275349654814e-133,1.6018139,S100A10,4.9510938412837216e-77,2.1602302,VWF,4.456924346208589e-84,4.2232065,CD36,2.2216030366874104e-188,3.898081
24,GRK5,3.4179618772759204e-126,0.5982722,CASC15,3.875654128169137e-157,1.9659736,DUSP1,1.2835001446079023e-205,1.594067,ADAM12,1.719080619769446e-123,3.2218366,S100A11,4.8614823193287035e-65,1.8073243,DACH1,1.0647252790955346e-83,2.8502223,TRDN,6.544688636570578e-188,4.5087223
25,PID1,1.5322907741754875e-119,0.5165379,ADAMTSL2,8.644793978554024e-151,1.8762318,SPSB1,4.232375760583677e-202,2.451773,SPARC,5.660265504860463e-123,1.3001821,FBLN2,7.901103059961532e-61,1.2063831,EPS8,3.171978395275329e-83,1.4348154,PALLD,6.614812599116315e-188,2.8558953
26,ADGRL3,4.030766085794973e-118,1.0789618,LGR4,9.915274366564959e-144,0.8548147,DDX21,1.131923541533611e-198,1.7526361,AC017002.5,6.377537132810524e-120,2.7276988,ADAMTS5,3.6672812238186265e-60,2.0792847,ITGA1,2.021721991021684e-79,2.3700156,TRDN-AS1,3.0543456085267414e-182,4.673017
